check_id,production_event_id,timestamp,result,defect_type,inspector_id
QC000062,PE000076,2026-01-01T15:39:00,pass,,INS04
QC000063,PE000077,2026-01-01T22:24:00,pass,,INS02
QC000064,PE000078,2026-01-01T13:14:00,pass,,INS05
QC000065,PE000079,2026-01-01T17:15:00,pass,,INS03
QC000066,PE000080,2026-01-01T16:35:00,pass,,INS04
QC000067,PE000081,2026-01-01T14:57:00,pass,,
QC000068,PE000082,2026-01-01T20:17:00,pass,,INS02
QC000069,PE000083,2026-01-01T14:04:00,pass,,INS05
QC000070,PE000084,2026-01-01T02:08:00,fail,assembly,INS05
QC000071,PE000085,2026-01-01T13:26:00,pass,,INS03
QC000072,PE000086,2026-01-01T12:57:00,pass,,INS05
QC000073,PE000089,2026-01-01T08:27:00,pass,,INS02
QC000074,PE000090,2026-01-01T05:53:00,pass,,INS02
QC000075,PE000091,2026-01-01T18:36:00,pass,,INS01
QC000076,PE000092,2026-01-01T05:03:00,pass,,INS04
QC000077,PE000093,2026-01-01T12:17:00,pass,,INS03
QC000078,PE000094,2026-01-01T00:47:00,pass,,INS04
QC000079,PE000095,2026-01-01T02:49:00,pass,,INS05
QC000080,PE000096,2026-01-01T00:39:00,pass,,INS02
QC000081,PE000097,2026-01-01T06:29:00,pass,,INS03
QC000082,PE000098,2026-01-01T09:06:00,pass,,INS05
QC000083,PE000099,2026-01-01T22:12:00,pass,,INS04
QC000084,PE000100,2026-01-01T22:49:00,pass,,INS05
QC000085,PE000101,2026-01-02T01:22:00,pass,,INS04
QC000086,PE000103,2026-01-02T04:27:00,pass,,INS01
QC000087,PE000104,2026-01-02T17:49:00,pass,,INS04
QC000088,PE000105,2026-01-02T07:53:00,pass,,INS02
QC000089,PE000106,2026-01-02T18:39:00,pass,,INS05
QC000090,PE000107,2026-01-02T15:13:00,pass,,INS04
QC000091,PE000108,2026-01-02T00:33:00,pass,,INS05
QC000092,PE000109,2026-01-02T17:48:00,pass,,INS02
QC000093,PE000110,2026-01-02T00:05:00,pass,,INS01
QC000094,PE000111,2026-01-02T18:23:00,pass,,INS03
QC000095,PE000113,2026-01-02T03:47:00,fail,assembly,INS05
QC000096,PE000114,2026-01-02T23:30:00,pass,,INS03
QC000097,PE000115,2026-01-02T06:18:00,pass,,INS05
QC000098,PE000116,2026-01-02T01:03:00,pass,,INS03
QC000099,PE000117,2026-01-02T00:36:00,pass,,INS02
QC000100,PE000118,2026-01-02T08:55:00,pass,,INS05
QC000101,PE000119,2026-01-02T18:40:00,pass,,INS04
QC000102,PE000120,2026-01-02T07:07:00,pass,,INS01
QC000103,PE000121,2026-01-02T12:28:00,pass,,INS02
QC000104,PE000123,2026-01-02T06:16:00,pass,,INS03
QC000105,PE000124,2026-01-02T00:26:00,pass,,INS04
QC000106,PE000125,2026-01-02T09:45:00,pass,,INS04
QC000107,PE000126,2026-01-02T20:37:00,pass,,INS05
QC000108,PE000127,2026-01-02T07:41:00,fail,surface_finish,INS01
QC000109,PE000128,2026-01-02T05:50:00,pass,,INS03
QC000110,PE000129,2026-01-02T03:29:00,pass,,INS04
QC000111,PE000130,2026-01-02T02:38:00,pass,,INS05
QC000112,PE000131,2026-01-02T02:14:00,pass,,INS04
QC000113,PE000132,2026-01-02T08:36:00,pass,,INS03
QC000114,PE000134,2026-01-02T13:21:00,pass,,INS02
QC000115,PE000135,2026-01-02T22:31:00,pass,,INS05
QC000116,PE000136,2026-01-02T02:20:00,pass,,INS04
QC000117,PE000137,2026-01-02T00:42:00,pass,,INS02
QC000118,PE000138,2026-01-02T11:39:00,pass,,INS03
QC000119,PE000139,2026-01-02T08:35:00,pass,,INS01
QC000120,PE000140,2026-01-02T00:40:00,pass,,INS05
QC000121,PE000141,2026-01-02T00:35:00,pass,,INS04
QC000122,PE000142,2026-01-02T03:41:00,pass,,INS05
QC000123,PE000143,2026-01-02T22:17:00,pass,,INS03
QC000124,PE000144,2026-01-02T17:09:00,pass,,INS05
QC000125,PE000145,2026-01-02T08:49:00,pass,,INS01
QC000126,PE000146,2026-01-02T09:46:00,pass,,INS03
QC000127,PE000147,2026-01-02T14:34:00,pass,,INS04
QC000128,PE000148,2026-01-02T10:55:00,pass,,INS02
QC000129,PE000149,2026-01-02T13:02:00,pass,,INS03
QC000130,PE000151,2026-01-02T16:37:00,pass,,INS02
QC000131,PE000152,2026-01-02T16:58:00,pass,,INS05
QC000132,PE000153,2026-01-02T15:50:00,pass,,INS02
QC000133,PE000154,2026-01-02T02:54:00,pass,,INS05
QC000134,PE000155,2026-01-02T20:45:00,pass,,INS03
QC000135,PE000156,2026-01-02T02:15:00,pass,,INS01
QC000136,PE000157,2026-01-02T03:48:00,pass,,INS01
QC000137,PE000160,2026-01-02T05:05:00,pass,,INS03
QC000138,PE000161,2026-01-02T18:09:00,pass,,INS04
QC000139,PE000162,2026-01-02T00:57:00,pass,,INS04
QC000140,PE000163,2026-01-02T14:22:00,pass,,INS01
QC000141,PE000164,2026-01-02T09:12:00,pass,,INS03
QC000142,PE000165,2026-01-02T18:22:00,pass,,INS01
QC000143,PE000166,1900-01-02T12:17:00,pass,,INS03
QC000144,PE000168,2026-01-02T11:14:00,pass,,INS02
QC000145,PE000169,2026-01-02T03:57:00,pass,,INS05
QC000146,PE000170,2026-01-02T18:23:00,pass,,INS03
QC000147,PE000172,2026-01-02T16:58:00,fail,material,
QC000148,PE000174,2026-01-02T21:46:00,pass,,INS04
QC000149,PE000175,2026-01-02T12:00:00,pass,,INS03
QC000150,PE000176,2026-01-02T12:52:00,pass,,INS03
QC000151,PE000177,2026-01-02T00:39:00,pass,,INS02
QC000152,PE000178,2026-01-02T02:40:00,pass,,INS02
QC000153,PE000179,2026-01-02T04:02:00,fail,dimension,
QC000154,PE000180,2026-01-02T07:56:00,pass,,INS04
QC000155,PE000181,2026-01-02T23:46:00,pass,,INS04
QC000156,PE000182,2026-01-02T13:17:00,pass,,INS01
QC000157,PE000183,2026-01-02T11:06:00,pass,,INS03
QC000158,PE000184,2026-01-02T12:17:00,pass,,INS02
QC000159,PE000185,2026-01-02T21:13:00,pass,,INS05
QC000160,PE000186,2026-01-02T07:08:00,pass,,INS02
QC000161,PE000187,2026-01-02T06:52:00,pass,,INS04
QC000162,PE000189,2026-01-02T00:22:00,pass,,INS05
QC000163,PE000190,2026-01-02T08:03:00,pass,,INS02
QC000164,PE000191,2026-01-02T14:49:00,pass,,INS05
QC000165,PE000192,2026-01-02T01:46:00,pass,,INS01
QC000166,PE000193,2026-01-02T20:01:00,pass,,INS05
QC000167,PE000194,2026-01-02T03:31:00,pass,,INS01
QC000168,PE000195,2026-01-02T04:04:00,pass,,INS04
QC000169,PE000196,2026-01-02T19:33:00,pass,,INS05
QC000170,PE000198,2026-01-02T14:56:00,pass,,INS04
QC000171,PE000200,2026-01-02T21:59:00,pass,,INS04
QC000172,PE000202,2026-01-03T17:35:00,fail,dimension,
QC000173,PE000203,2026-01-03T01:18:00,pass,,INS04
QC000174,PE000204,2026-01-03T21:30:00,pass,,INS04
QC000175,PE000205,2026-01-03T08:36:00,pass,,INS05
QC000176,PE000206,2026-01-03T21:53:00,pass,,INS05
QC000177,PE000209,2026-01-03T13:29:00,pass,,INS01
QC000178,PE000210,2026-01-03T19:05:00,pass,,INS02
QC000179,PE000211,2026-01-03T02:17:00,fail,material,INS05
QC000180,PE000212,2026-01-03T08:13:00,pass,,INS02
QC000181,PE000213,2026-01-03T21:43:00,pass,,INS02
QC000182,PE000214,2026-01-03T12:38:00,pass,,INS03
QC000183,PE000215,2026-01-03T09:20:00,pass,,INS03
QC000184,PE000216,2026-01-03T12:34:00,pass,,INS03
QC000185,PE000217,2026-01-03T12:55:00,pass,,INS05
QC000186,PE000218,2026-01-03T18:27:00,pass,,INS01
QC000187,PE000219,2026-01-03T12:01:00,pass,,INS03
QC000188,PE000220,2026-01-03T11:05:00,pass,,INS01
QC000189,PE000221,2026-01-03T02:25:00,pass,,INS01
QC000190,PE000222,2026-01-03T02:32:00,pass,,INS02
QC000191,PE000223,2026-01-03T23:52:00,pass,,INS04
QC000192,PE000224,2026-01-03T06:11:00,pass,,INS03
QC000193,PE000225,2026-01-03T20:31:00,fail,assembly,INS01
QC000194,PE000226,2026-01-03T18:41:00,pass,,INS04
QC000195,PE000227,2026-01-03T14:04:00,pass,,INS03
QC000196,PE000228,2026-01-03T01:22:00,pass,,
QC000197,PE000229,2026-01-03T11:53:00,pass,,INS05
QC000198,PE000230,2026-01-03T19:32:00,pass,,INS02
QC000199,PE000231,2026-01-03T18:41:00,pass,,INS02
QC000200,PE000232,2026-01-03T14:06:00,pass,,INS03
QC000201,PE000233,2026-01-03T20:11:00,pass,,
QC000202,PE000234,2026-01-03T11:58:00,pass,,INS03
QC000203,PE000235,2026-01-03T20:21:00,pass,,INS04
QC000204,PE000238,2026-01-03T19:45:00,pass,,INS02
QC000205,PE000240,2026-01-03T21:27:00,pass,,INS01
QC000206,PE000241,2026-01-03T10:49:00,pass,,INS04
QC000207,PE000242,2026-01-03T09:54:00,pass,,INS02
QC000208,PE000243,2026-01-03T10:56:00,pass,,INS04
QC000209,PE000244,2026-01-03T05:53:00,pass,,INS03
QC000210,PE000245,2026-01-03T13:23:00,pass,,INS05
QC000211,PE000246,2026-01-03T14:14:00,pass,,INS03
QC000212,PE000247,2026-01-03T11:43:00,pass,,INS02
QC000213,PE000248,2026-01-03T16:33:00,pass,,INS01
QC000214,PE000249,2026-01-03T01:41:00,pass,,INS05
QC000215,PE000250,2026-01-03T02:48:00,pass,,INS01
QC000216,PE000251,2026-01-03T02:58:00,pass,,INS01
QC000217,PE000252,2026-01-03T01:25:00,pass,,INS01
QC000218,PE000255,2026-01-03T15:28:00,pass,,INS01
QC000219,PE000256,2026-01-03T04:35:00,pass,,
QC000220,PE000257,2026-01-03T07:19:00,pass,,INS04
QC000221,PE000258,2026-01-03T03:53:00,pass,,INS05
QC000222,PE000259,2026-01-03T04:18:00,pass,,INS01
QC000223,PE000260,2026-01-03T21:42:00,pass,,INS01
QC000224,PE000262,2026-01-03T02:22:00,pass,,INS04
QC000225,PE000263,2026-01-03T01:22:00,pass,,INS04
QC000226,PE000264,2026-01-03T15:40:00,pass,,INS03
QC000227,PE000265,2026-01-03T09:12:00,pass,,INS02
QC000228,PE000266,2026-01-03T16:25:00,pass,,INS03
QC000229,PE000267,2026-01-03T06:18:00,pass,,INS01
QC000230,PE000268,2026-01-03T03:51:00,pass,,INS05
QC000231,PE000269,2026-01-03T10:11:00,pass,,INS01
QC000232,PE000271,2026-01-03T09:20:00,pass,,INS04
QC000233,PE000272,2026-01-03T19:45:00,pass,,INS03
QC000234,PE000273,2026-01-03T23:55:00,pass,,INS03
QC000235,PE000274,2026-01-03T01:04:00,pass,,INS05
QC000236,PE000277,2026-01-03T04:43:00,pass,,INS01
QC000237,PE000278,2026-01-03T04:33:00,pass,,INS04
QC000238,PE000279,2026-01-03T00:47:00,pass,,INS02
QC000239,PE000280,2026-01-03T08:45:00,pass,,INS03
QC000240,PE000282,2026-01-03T21:54:00,pass,,INS05
QC000241,PE000283,2026-01-03T17:18:00,pass,,INS04
QC000242,PE000284,2026-01-03T16:14:00,pass,,INS01
QC000243,PE000285,2026-01-03T00:23:00,pass,,INS01
QC000244,PE000286,2026-01-03T02:04:00,pass,,INS03
QC000245,PE000287,2026-01-03T13:49:00,pass,,INS03
QC000246,PE000288,2026-01-03T02:28:00,pass,,INS02
QC000247,PE000289,2026-01-03T13:32:00,pass,,INS01
QC000248,PE000290,2026-01-03T05:10:00,pass,,INS01
QC000249,PE000291,2026-01-03T08:12:00,pass,,INS04
QC000250,PE000292,2026-01-03T17:05:00,pass,,INS02
QC000251,PE000293,2026-01-03T21:39:00,pass,,INS05
QC000252,PE000294,2026-01-03T02:02:00,pass,,INS02
QC000253,PE000295,2026-01-03T13:39:00,pass,,INS02
QC000254,PE000296,2026-01-03T09:30:00,pass,,INS04
QC000255,PE000298,2026-01-03T10:38:00,pass,,INS03
QC000256,PE000025,2026-01-01T01:15:00,pass,,INS02
QC000257,PE000070,2026-01-01T12:44:00,fail,assembly,INS02
QC000258,PE000209,2026-01-03T13:29:00,pass,,INS03
QC000259,PE000224,2026-01-03T06:11:00,pass,,INS01
QC000260,PE000286,2026-01-03T02:04:00,pass,,INS01
QC-ORPHAN000,PE999999,2026-01-01T07:14:00,pass,,INS04
