event_id,machine_id,timestamp,product_code,quantity_produced,unit,shift
PE000029,M002,2026-01-01T07:14:00,PRD-B200,333,kg,night
PE000030,M002,2026-01-01T07:00:00,PRD-A100,167,units,morning
PE000031,M002,2026-01-01T10:04:00,PRD-B200,298,units,night
PE000032,M002,2026-01-01T04:46:00,PRD-B200,292,units,afternoon
PE000033,M002,2026-01-01T13:12:00,PRD-D400,231,units,afternoon
PE000034,M002,2026-01-01T14:55:00,PRD-A100,380,units,morning
PE000035,M002,2026-01-01T12:46:00,PRD-B200,177,units,morning
PE000036,M002,2026-01-01T17:28:00,PRD-B200,286,units,morning
PE000037,M002,2026-01-01T14:51:00,PRD-A100,75,units,morning
PE000038,M002,2026-01-01T07:10:00,PRD-D400,492,units,morning
PE000039,M002,1900-01-01T05:24:00,PRD-D400,451,units,afternoon
PE000040,M002,2026-01-01T13:44:00,PRD-D400,334,units,morning
PE000041,M003,2026-01-01T06:18:00,PRD-A100,426,units,night
PE000042,M003,2026-01-01T10:03:00,PRD-B200,486,units,morning
PE000043,M003,2026-01-01T16:05:00,PRD-B200,84,units,afternoon
PE000044,M003,2026-01-01T03:56:00,PRD-A100,70,units,afternoon
PE000045,M003,2026-01-01T21:37:00,PRD-B200,183,units,night
PE000046,M003,2026-01-01T22:20:00,PRD-C300,393,units,afternoon
PE000047,M003,2026-01-01T10:59:00,PRD-A100,284,units,morning
PE000048,M003,2026-01-01T17:13:00,PRD-A100,228,units,morning
PE000049,M003,2026-01-01T11:18:00,PRD-C300,410,units,night
PE000050,M003,1900-01-01T20:33:00,PRD-A100,203,units,morning
PE000051,M003,2026-01-01T08:07:00,PRD-C300,129,units,afternoon
PE000052,M003,2026-01-01T19:13:00,PRD-C300,374,units,night
PE000053,M003,2026-01-01T15:16:00,PRD-D400,97,units,afternoon
PE000054,M003,2026-01-01T01:00:00,PRD-B200,184,units,night
PE000055,M003,2026-01-01T14:35:00,PRD-A100,107,units,night
PE000056,M003,2026-01-01T04:34:00,PRD-B200,332,units,afternoon
PE000057,M003,2026-01-01T04:02:00,PRD-A100,457,units,afternoon
PE000058,M003,2026-01-01T06:43:00,PRD-D400,449,units,night
PE000059,M003,2026-01-01T23:09:00,PRD-B200,133,units,afternoon
PE000060,M003,2026-01-01T00:11:00,PRD-B200,260,units,afternoon
PE000061,M004,2026-01-01T05:50:00,PRD-D400,69,units,morning
PE000062,M004,2026-01-01T06:52:00,PRD-B200,470,units,morning
PE000063,M004,2026-01-01T00:42:00,PRD-A100,492,units,afternoon
PE000064,M004,2026-01-01T11:41:00,PRD-C300,481,units,morning
PE000065,M004,2026-01-01T03:56:00,PRD-A100,185,units,morning
PE000066,M004,2026-01-01T19:27:00,PRD-A100,273,units,afternoon
PE000067,M004,2026-01-01T18:12:00,PRD-B200,50,units,afternoon
PE000068,M004,2026-01-01T13:04:00,PRD-C300,369,units,night
PE000069,M004,2026-01-01T03:46:00,PRD-D400,391,units,afternoon
PE000070,M004,2026-01-01T12:44:00,PRD-D400,265,units,night
PE000071,M004,2026-01-01T23:57:00,PRD-A100,257,units,afternoon
PE000072,M004,2026-01-01T09:13:00,PRD-C300,385,units,afternoon
PE000073,M004,2026-01-01T14:28:00,PRD-B200,456,units,night
PE000074,M004,2026-01-01T02:18:00,PRD-A100,221,units,morning
PE000075,M004,2026-01-01T21:19:00,PRD-A100,62,units,morning
PE000076,M004,2026-01-01T15:39:00,PRD-B200,262,units,night
PE000077,M004,2026-01-01T22:24:00,PRD-A100,385,units,morning
PE000078,M004,2026-01-01T13:14:00,PRD-D400,315,units,morning
PE000079,M004,2026-01-01T17:15:00,PRD-D400,118,units,night
PE000080,M004,2026-01-01T16:35:00,PRD-D400,276,units,night
PE000081,M005,2026-01-01T14:57:00,PRD-C300,280,units,morning
PE000082,M005,2026-01-01T20:17:00,PRD-B200,370,units,afternoon
PE000083,M005,2026-01-01T14:04:00,PRD-C300,221,units,night
PE000084,M005,2026-01-01T02:08:00,PRD-B200,128,units,morning
PE000085,M005,2026-01-01T13:26:00,PRD-B200,81,units,afternoon
PE000086,M005,2026-01-01T12:57:00,PRD-D400,60,units,afternoon
PE000087,M005,2026-01-01T00:22:00,PRD-D400,477,units,night
PE000088,M005,2026-01-01T23:47:00,PRD-D400,162,units,morning
PE000089,M005,2026-01-01T08:27:00,PRD-D400,392,units,night
PE000090,M005,2026-01-01T05:53:00,PRD-A100,368,units,afternoon
PE000091,M005,2026-01-01T18:36:00,PRD-B200,269,units,afternoon
PE000092,M005,2026-01-01T05:03:00,PRD-C300,282,units,afternoon
PE000093,M005,2026-01-01T12:17:00,PRD-A100,179,units,afternoon
PE000094,M005,2026-01-01T00:47:00,PRD-B200,229,units,night
PE000095,M005,2026-01-01T02:49:00,PRD-B200,65,kg,morning
PE000096,M005,2026-01-01T00:39:00,PRD-A100,392,units,night
PE000097,M005,2026-01-01T06:29:00,PRD-A100,135,units,morning
PE000098,M005,2026-01-01T09:06:00,PRD-D400,344,units,afternoon
PE000099,M005,2026-01-01T22:12:00,PRD-B200,371,units,morning
PE000100,M005,2026-01-01T22:49:00,PRD-A100,462,units,night
PE000101,M001,2026-01-02T01:22:00,PRD-C300,85,units,morning
PE000102,M001,2026-01-02T13:52:00,PRD-D400,235,units,night
PE000103,M001,2026-01-02T04:27:00,PRD-C300,383,units,night
PE000104,M001,2026-01-02T17:49:00,PRD-C300,424,units,afternoon
PE000105,M001,2026-01-02T07:53:00,PRD-B200,280,units,afternoon
PE000106,M001,2026-01-02T18:39:00,PRD-C300,303,units,morning
PE000107,M001,2026-01-02T15:13:00,PRD-C300,193,units,night
PE000108,M001,2026-01-02T00:33:00,PRD-D400,418,units,afternoon
PE000109,M001,2026-01-02T17:48:00,PRD-D400,414,units,afternoon
PE000110,M001,2026-01-02T00:05:00,PRD-C300,174,units,night
PE000111,M001,2026-01-02T18:23:00,PRD-C300,267,units,afternoon
PE000112,M001,2026-01-02T22:29:00,PRD-B200,111,units,afternoon
PE000113,M001,2026-01-02T03:47:00,PRD-B200,144,units,morning
PE000114,M001,2026-01-02T23:30:00,PRD-C300,439,units,morning
PE000115,M001,2026-01-02T06:18:00,PRD-B200,57,units,afternoon
PE000116,M001,2026-01-02T01:03:00,PRD-D400,114,units,morning
PE000117,M001,2026-01-02T00:36:00,PRD-B200,224,units,morning
PE000118,M001,2026-01-02T08:55:00,PRD-D400,255,units,morning
PE000119,M001,2026-01-02T18:40:00,PRD-C300,465,units,morning
PE000120,M001,2026-01-02T07:07:00,PRD-B200,355,units,night
PE000121,M002,2026-01-02T12:28:00,PRD-D400,351,units,afternoon
PE000122,M002,2026-01-02T18:39:00,PRD-B200,100,units,night
PE000123,M002,2026-01-02T06:16:00,PRD-A100,138,units,morning
PE000124,M002,2026-01-02T00:26:00,PRD-A100,199,units,morning
PE000125,M002,2026-01-02T09:45:00,PRD-B200,86,units,afternoon
PE000126,M002,2026-01-02T20:37:00,PRD-A100,267,units,night
PE000127,M002,2026-01-02T07:41:00,PRD-A100,122,units,morning
PE000128,M002,2026-01-02T05:50:00,PRD-C300,341,units,afternoon
PE000129,M002,2026-01-02T03:29:00,PRD-D400,189,units,afternoon
PE000130,M002,2026-01-02T02:38:00,PRD-C300,215,units,morning
PE000131,M002,2026-01-02T02:14:00,PRD-A100,344,units,night
PE000132,M002,2026-01-02T08:36:00,PRD-D400,290,units,afternoon
PE000133,M002,2026-01-02T05:37:00,PRD-D400,96,units,afternoon
PE000134,M002,2026-01-02T13:21:00,PRD-C300,132,units,afternoon
PE000135,M002,2026-01-02T22:31:00,PRD-A100,466,units,afternoon
PE000136,M002,2026-01-02T02:20:00,PRD-D400,445,units,night
PE000137,M002,2026-01-02T00:42:00,PRD-B200,77,units,night
PE000138,M002,2026-01-02T11:39:00,PRD-A100,439,units,morning
PE000139,M002,2026-01-02T08:35:00,PRD-D400,500,units,morning
PE000140,M002,2026-01-02T00:40:00,PRD-C300,131,units,night
PE000141,M003,2026-01-02T00:35:00,PRD-A100,480,units,afternoon
PE000142,M003,2026-01-02T03:41:00,PRD-C300,416,units,night
PE000143,M003,2026-01-02T22:17:00,PRD-B200,291,units,afternoon
PE000144,M003,2026-01-02T17:09:00,PRD-B200,310,units,morning
PE000145,M003,2026-01-02T08:49:00,PRD-C300,453,units,morning
PE000146,M003,2026-01-02T09:46:00,PRD-D400,387,units,morning
PE000147,M003,2026-01-02T14:34:00,PRD-D400,440,units,afternoon
PE000148,M003,2026-01-02T10:55:00,PRD-D400,342,units,morning
PE000149,M003,2026-01-02T13:02:00,PRD-D400,465,units,afternoon
PE000150,M003,2026-01-02T21:50:00,PRD-A100,303,units,morning
PE000151,M003,2026-01-02T16:37:00,PRD-D400,482,units,morning
PE000152,M003,2026-01-02T16:58:00,PRD-B200,259,units,morning
PE000153,M003,2026-01-02T15:50:00,PRD-D400,404,units,night
PE000154,M003,2026-01-02T02:54:00,PRD-D400,323,units,afternoon
PE000155,M003,2026-01-02T20:45:00,PRD-A100,327,units,night
PE000156,M003,2026-01-02T02:15:00,PRD-A100,166,units,afternoon
PE000157,M003,2026-01-02T03:48:00,PRD-B200,277,units,night
PE000158,M003,1900-01-02T09:57:00,PRD-C300,78,units,afternoon
PE000159,M003,2026-01-02T11:27:00,PRD-B200,339,units,morning
PE000160,M003,2026-01-02T05:05:00,PRD-B200,399,units,afternoon
PE000161,M004,2026-01-02T18:09:00,PRD-C300,285,units,night
PE000162,M004,2026-01-02T00:57:00,PRD-B200,396,units,morning
PE000163,M004,2026-01-02T14:22:00,PRD-C300,267,units,afternoon
PE000164,M004,2026-01-02T09:12:00,PRD-B200,104,units,afternoon
PE000165,M004,2026-01-02T18:22:00,PRD-A100,201,units,night
PE000166,M004,1900-01-02T12:17:00,PRD-A100,448,units,night
PE000167,M004,2026-01-02T23:31:00,PRD-B200,447,units,night
PE000168,M004,2026-01-02T11:14:00,PRD-B200,397,units,night
PE000169,M004,2026-01-02T03:57:00,PRD-D400,453,kg,morning
PE000170,M004,2026-01-02T18:23:00,PRD-C300,201,units,night
PE000171,M004,2026-01-02T13:11:00,PRD-C300,498,units,night
PE000172,M004,2026-01-02T16:58:00,PRD-D400,472,units,afternoon
PE000173,M004,2026-01-02T23:55:00,PRD-B200,88,units,morning
PE000174,M004,2026-01-02T21:46:00,PRD-C300,483,units,morning
PE000175,M004,2026-01-02T12:00:00,PRD-C300,238,units,night
PE000176,M004,2026-01-02T12:52:00,PRD-B200,395,units,afternoon
PE000177,M004,2026-01-02T00:39:00,PRD-B200,362,units,night
PE000178,M004,2026-01-02T02:40:00,PRD-D400,204,units,morning
PE000179,M004,2026-01-02T04:02:00,PRD-A100,302,units,morning
PE000180,M004,2026-01-02T07:56:00,PRD-D400,239,units,night
PE000181,M005,2026-01-02T23:46:00,PRD-D400,100,units,night
PE000182,M005,2026-01-02T13:17:00,PRD-D400,277,units,morning
PE000183,M005,2026-01-02T11:06:00,PRD-C300,380,units,morning
PE000184,M005,2026-01-02T12:17:00,PRD-D400,484,units,morning
PE000185,M005,2026-01-02T21:13:00,PRD-A100,60,units,afternoon
PE000186,M005,2026-01-02T07:08:00,PRD-B200,474,units,night
PE000187,M005,2026-01-02T06:52:00,PRD-A100,125,units,afternoon
PE000188,M005,2026-01-02T04:08:00,PRD-A100,106,units,morning
PE000189,M005,2026-01-02T00:22:00,PRD-A100,215,units,morning
PE000190,M005,2026-01-02T08:03:00,PRD-A100,108,units,afternoon
PE000191,M005,2026-01-02T14:49:00,PRD-B200,281,units,night
PE000192,M005,2026-01-02T01:46:00,PRD-C300,316,units,afternoon
PE000193,M005,2026-01-02T20:01:00,PRD-D400,255,units,night
PE000194,M005,2026-01-02T03:31:00,PRD-C300,91,units,night
PE000195,M005,2026-01-02T04:04:00,PRD-C300,349,units,afternoon
PE000196,M005,2026-01-02T19:33:00,PRD-A100,270,units,night
PE000197,M005,2026-01-02T03:54:00,PRD-B200,332,units,afternoon
PE000198,M005,2026-01-02T14:56:00,PRD-D400,282,units,afternoon
PE000199,M005,2026-01-02T23:06:00,PRD-C300,180,units,morning
PE000200,M005,2026-01-02T21:59:00,PRD-A100,93,units,afternoon
PE000201,M001,2026-01-03T03:47:00,PRD-A100,334,units,night
PE000202,M001,2026-01-03T17:35:00,PRD-D400,231,units,night
PE000203,M001,2026-01-03T01:18:00,PRD-B200,345,units,morning
PE000204,M001,2026-01-03T21:30:00,PRD-C300,482,units,morning
PE000205,M001,2026-01-03T08:36:00,PRD-A100,337,units,night
PE000206,M001,2026-01-03T21:53:00,PRD-C300,189,kg,afternoon
PE000207,M001,2026-01-03T11:00:00,PRD-D400,386,units,morning
PE000208,M001,2026-01-03T04:47:00,PRD-B200,432,kg,afternoon
PE000209,M001,2026-01-03T13:29:00,PRD-C300,419,units,night
PE000210,M001,2026-01-03T19:05:00,PRD-A100,436,units,night
PE000211,M001,2026-01-03T02:17:00,PRD-D400,360,units,afternoon
PE000212,M001,2026-01-03T08:13:00,PRD-A100,270,units,afternoon
PE000213,M001,2026-01-03T21:43:00,PRD-A100,207,units,morning
PE000214,M001,2026-01-03T12:38:00,PRD-B200,158,units,afternoon
PE000215,M001,2026-01-03T09:20:00,PRD-B200,270,units,morning
PE000216,M001,2026-01-03T12:34:00,PRD-C300,476,units,morning
PE000217,M001,2026-01-03T12:55:00,PRD-A100,285,units,afternoon
PE000218,M001,2026-01-03T18:27:00,PRD-C300,263,units,morning
PE000219,M001,2026-01-03T12:01:00,PRD-D400,366,units,night
PE000220,M001,2026-01-03T11:05:00,PRD-D400,273,units,night
PE000221,M002,2026-01-03T02:25:00,PRD-C300,163,units,morning
PE000222,M002,2026-01-03T02:32:00,PRD-C300,149,units,afternoon
PE000223,M002,2026-01-03T23:52:00,PRD-B200,102,units,afternoon
PE000224,M002,2026-01-03T06:11:00,PRD-A100,385,units,morning
PE000225,M002,2026-01-03T20:31:00,PRD-D400,346,units,night
PE000226,M002,2026-01-03T18:41:00,PRD-C300,492,units,morning
PE000227,M002,2026-01-03T14:04:00,PRD-C300,457,units,night
PE000228,M002,2026-01-03T01:22:00,PRD-A100,281,units,morning
PE000229,M002,2026-01-03T11:53:00,PRD-A100,487,units,night
PE000230,M002,2026-01-03T19:32:00,PRD-A100,455,units,afternoon
PE000231,M002,2026-01-03T18:41:00,PRD-B200,306,units,morning
PE000232,M002,2026-01-03T14:06:00,PRD-A100,415,units,night
PE000233,M002,2026-01-03T20:11:00,PRD-B200,274,units,afternoon
PE000234,M002,2026-01-03T11:58:00,PRD-A100,223,units,night
PE000235,M002,2026-01-03T20:21:00,PRD-D400,397,units,afternoon
PE000236,M002,2026-01-03T08:46:00,PRD-B200,358,units,afternoon
PE000237,M002,2026-01-03T02:37:00,PRD-D400,208,units,morning
PE000238,M002,2026-01-03T19:45:00,PRD-C300,242,units,morning
PE000239,M002,2026-01-03T21:44:00,PRD-A100,400,units,night
PE000240,M002,2026-01-03T21:27:00,PRD-B200,208,kg,morning
PE000241,M003,2026-01-03T10:49:00,PRD-B200,120,units,morning
PE000242,M003,2026-01-03T09:54:00,PRD-A100,326,units,night
PE000243,M003,2026-01-03T10:56:00,PRD-B200,242,units,morning
PE000244,M003,2026-01-03T05:53:00,PRD-D400,134,units,morning
PE000245,M003,2026-01-03T13:23:00,PRD-C300,277,units,night
PE000246,M003,2026-01-03T14:14:00,PRD-D400,464,units,morning
PE000247,M003,2026-01-03T11:43:00,PRD-C300,286,units,afternoon
PE000248,M003,2026-01-03T16:33:00,PRD-B200,152,units,afternoon
PE000249,M003,2026-01-03T01:41:00,PRD-A100,102,units,afternoon
PE000250,M003,2026-01-03T02:48:00,PRD-B200,312,units,afternoon
PE000251,M003,2026-01-03T02:58:00,PRD-A100,228,units,afternoon
PE000252,M003,2026-01-03T01:25:00,PRD-C300,91,units,morning
PE000253,M003,2026-01-03T00:20:00,PRD-C300,382,units,morning
PE000254,M003,2026-01-03T04:02:00,PRD-B200,406,units,night
PE000255,M003,2026-01-03T15:28:00,PRD-C300,59,units,morning
PE000256,M003,2026-01-03T04:35:00,PRD-A100,266,units,afternoon
PE000257,M003,2026-01-03T07:19:00,PRD-D400,377,units,morning
PE000258,M003,2026-01-03T03:53:00,PRD-B200,58,units,night
PE000259,M003,2026-01-03T04:18:00,PRD-D400,173,units,morning
PE000260,M003,2026-01-03T21:42:00,PRD-A100,84,units,afternoon
PE000261,M004,2026-01-03T15:02:00,PRD-A100,179,units,afternoon
PE000262,M004,2026-01-03T02:22:00,PRD-C300,103,units,morning
PE000263,M004,2026-01-03T01:22:00,PRD-D400,139,units,night
PE000264,M004,2026-01-03T15:40:00,PRD-D400,416,units,morning
PE000265,M004,2026-01-03T09:12:00,PRD-C300,71,units,afternoon
PE000266,M004,2026-01-03T16:25:00,PRD-A100,179,units,night
PE000267,M004,2026-01-03T06:18:00,PRD-C300,493,units,afternoon
PE000268,M004,2026-01-03T03:51:00,PRD-D400,430,units,afternoon
PE000269,M004,2026-01-03T10:11:00,PRD-C300,458,units,morning
PE000270,M004,2026-01-03T23:27:00,PRD-B200,471,units,night
PE000271,M004,2026-01-03T09:20:00,PRD-C300,201,units,afternoon
PE000272,M004,2026-01-03T19:45:00,PRD-D400,229,units,morning
PE000273,M004,2026-01-03T23:55:00,PRD-C300,272,units,night
PE000274,M004,2026-01-03T01:04:00,PRD-B200,312,units,morning
PE000275,M004,2026-01-03T04:54:00,PRD-B200,67,units,morning
PE000276,M004,2026-01-03T07:49:00,PRD-A100,340,units,night
PE000277,M004,2026-01-03T04:43:00,PRD-A100,277,units,night
PE000278,M004,2026-01-03T04:33:00,PRD-B200,192,units,morning
PE000279,M004,2026-01-03T00:47:00,PRD-A100,337,units,afternoon
PE000280,M004,2026-01-03T08:45:00,PRD-D400,196,units,morning
PE000281,M005,2026-01-03T03:08:00,PRD-D400,415,units,morning
PE000282,M005,2026-01-03T21:54:00,PRD-A100,413,units,night
PE000283,M005,2026-01-03T17:18:00,PRD-B200,414,units,afternoon
PE000284,M005,2026-01-03T16:14:00,PRD-B200,121,units,afternoon
PE000285,M005,2026-01-03T00:23:00,PRD-B200,461,units,night
PE000286,M005,2026-01-03T02:04:00,PRD-D400,418,units,night
PE000287,M005,2026-01-03T13:49:00,PRD-C300,114,units,night
PE000288,M005,2026-01-03T02:28:00,PRD-B200,115,units,morning
PE000289,M005,2026-01-03T13:32:00,PRD-B200,113,units,afternoon
PE000290,M005,2026-01-03T05:10:00,PRD-C300,227,units,morning
PE000291,M005,2026-01-03T08:12:00,PRD-C300,114,units,night
PE000292,M005,2026-01-03T17:05:00,PRD-B200,347,units,morning
PE000293,M005,2026-01-03T21:39:00,PRD-A100,481,units,morning
PE000294,M005,2026-01-03T02:02:00,PRD-B200,185,units,night
PE000295,M005,2026-01-03T13:39:00,PRD-C300,371,units,night
PE000296,M005,2026-01-03T09:30:00,PRD-C300,257,units,afternoon
PE000297,M005,2026-01-03T02:44:00,PRD-D400,297,units,morning
PE000298,M005,2026-01-03T10:38:00,PRD-C300,213,units,afternoon
PE000299,M005,2026-01-03T04:48:00,PRD-B200,213,units,afternoon
PE000300,M005,2026-01-03T03:17:00,PRD-C300,75,units,afternoon
PE000025,M002,2026-01-01T01:15:00,PRD-D400,93,units,morning
PE000070,M004,2026-01-01T12:44:00,PRD-D400,265,units,night
PE000209,M001,2026-01-03T13:29:00,PRD-C300,419,units,night
PE000224,M002,2026-01-03T06:11:00,PRD-A100,385,units,morning
PE000286,M005,2026-01-03T02:04:00,PRD-D400,418,units,night
